Tweets	Compound	Analysis
“all of the available #vaccines have been proven effective at preventing severe illness, hospitalizations, and deat… 	-0.3182	Negative
Health discards the idea of Ayuso that private companies buy vaccines and remember that it would be discriminatory 	-0.25	Negative
That PAVA is more likely to have a thrombus by spreading Coronavirus than by the vaccine. concretament ... 	0.0	Neutral
Pelín slower than here (there were enough problems at the beginning). An average of 280 thousand daily vaccines. p ... 	-0.4019	Negative
_dr_ed look at me have been diagnosedted, they put an injection well and they had to put another, since ... 	0.2732	Positive
And that's why you have to get vaccinated, because the vaccine whores work! 	-0.6476	Negative
Hospra.The pharmaceutical multinational based in Amer (Girona), plans to market a vaccine against the Covid-19 An ... 	0.0	Neutral
interesting covid-19 vaccine industry dynamics. 	0.5859	Positive
figures and data that demonstrate that vaccines against the COVID-19 work and are saving lives 	0.0	Neutral
"#Pendo Tilda of ""Failure"" to the vaccination campaign: ""The # RegiDemurcia is the community that less vaccines receive ... "	0.0	Neutral
Lego kits and free ice cream to convince the Chinese of the benefits of their vaccines via 	0.7845	Positive
Now the antiparacetamol will come out ... ah no, that we swore them for good resacas but the vaccine did not ... 	0.09	Positive
Dedicated to those who have a doubt about the risks of vaccines !! 	-0.2924	Negative
"_riba ""china coronavirus vaccine: top official admits low effectiveness"" "	0.2263	Positive
This note produces a dual feeling: immense joy because the vaccine works and our elders are protected ... 	0.802	Positive
BUAIDÓ: Legitimate Government with the support of WHO will approve a project to finance access to vaccines against the COVID-19 	0.4019	Positive
The CCAA administers 5,742,218 dose of the Pfizer vaccine, Mode ... 	0.0	Neutral
but the vaccines starting on Wednesday, at your rhythm ... 	0.0	Neutral
About #VIH and the vaccine # Covid19: 	0.0	Neutral
My uncle has just received his first dose of the vaccine (La de Modern) excites seeing so many elderly people who have ... 	0.4767	Positive
testing 2nd shot! long run ‘21 #3#rualiveorjustexisting #nosurrender #vaccineswork #vaccinessavelives #covid19 .… 	0.0	Neutral
and now what? The autopsy unlinks the death of Marbella's teacher from Astrazeneca's vaccine 	-0.5994	Negative
That they do not deceive us with that vaccines are 100% safe. #Astrazeneca # Covid19. 	0.6319	Positive
#Secondadadosis #vacunapfizer against # Covid19 🦠 For my #Pacientes! # Drasilviaalcón # clinicadentalsalcodent ... 	0.0	Neutral
almost 7 and a half million vaccines so far 	0.0	Neutral
The next goal of the creators of the Pfizer vaccine manifested their intention of ... 	0.0	Neutral
In the absence of vaccines, they encourage us to entertain us. Thank you. 	0.7964	Positive
"hahahaha .. all surreal ... among others ""borders"" that that the ""coronavirus escapes the vaccine"" ... "	0.128	Positive
effectiveness of pfizer-biontech and moderna vaccines against #covid19 january–march 2021adults aged ≥65 years… 	0.0	Neutral
#covid19 jab booked for wednesday. viva españa! 	0.0	Neutral
🦠The sanitary area of A Coruña and EEC has cited by Monday to 3,116 people to manage the vaccine contr ... 	0.0	Neutral
