Tweets	Compound	Analysis
Waiting like Mayo water (although this year we have carloh water) the vaccine prays my mother with 88 years that I saw ... 	0.5994	Positive
he is seriously inept! and probably criminally negligent! #johnsonhasfailedthenation 	-0.3147	Negative
steals vaccines. The politicians who have been vaccinated against the coronavirus 	-0.5106	Negative
Against the recommendation of the European Medication Agency _News, the 2nd dose of the vaccine is delayed ... 	-0.2263	Negative
#murcia premieres the modern vaccine with students in #ucam practices. _Is #Coronavirus. 	0.0	Neutral
These trade unionists do not fall the face of shame .... that the vaccines are put on before, being in offices ... 	-0.4767	Negative
The sputnik works. This is what The Lancet is affirmed. more vaccines available, if geopolitics do not prevent it 	-0.0191	Negative
The Russian vaccine Sputnik V reaches an efficiency in 2 dose of 92%, WHO: the first Russian vaccine registered against ... 	0.4019	Positive
Look that if after so much joke, the Russian vaccine is more effective than Westerners ... It should also be said that the Ci ... 	0.707	Positive
second dose 🦠✌ # yomevacuno #joemvacuno #vacuna # covid19 #vaccine #protecttsme #protectsyou #hub # work ... 	0.0	Neutral
The Biontech vaccine, Fosun Pharma, Pfizer serves to protect against the COVID-19. The Pfizer vaccine is effective ... 	0.6908	Positive
I see many structural similarities between the Astra Zeneka vaccine and the Sputnik. Maybe the main difference s ... 	0.0	Neutral
If you do not get vaccinated here, I do not want a vaccine. 	-0.0572	Negative
An effective vaccine against Covid-19 to 91.6% and due to geostrategic capitalist interests can not be ... 	0.6249	Positive
TARAD HOURS TO REGISTER my parents for the # Covid19 vaccine in the Government Portal of Mexico made me ... 	0.0	Neutral
The British variant of the coronavirus increases concern about its possible resistance to vaccines ... 	0.0	Neutral
The effectiveness of vaccines against COVID-19 in the last phases of clinical trials. 	0.0	Neutral
Neither joke ... The Russian vaccine Sputnik shows an efficiency of 91.6�20Contra the coronavirus 	0.1561	Positive
"Strategy of ""Draghi, who questioned why there are no stricter controls to the export of vaccines for the ... "	-0.3818	Negative
Ayuso shoots in a single day 6.731 Dose of vaccines against the Covid19 via 	0.0	Neutral
vaccine nationalism is bad. but in the anglosphere we've seen no outrage about it 	-0.8591	Negative
This descerebrada then says she does not get vaccines, she wants to get around infected and dead ... 	-0.8176	Negative
When they will put the coreavirus vaccine according to your age via _ a campaign of ... 	0.0	Neutral
30 percent of Sevilla's elders has not been located for the coreavirus vaccine ... 	0.0	Neutral
Sunday vaccine for 1,840 teachers of #murcia and 878 de #orca: First teachers in receiving a dose. ... 	0.0	Neutral
In, presentation of extraordinary cumshot of the #Domingoder in the bullring of ... 	0.0	Neutral
It does not serve or to buy vaccines, while we are dying !!!!!! 	0.0	Neutral
More than 260 mile vaccines supplied yesterday. this is good 	0.4404	Positive
How to detect Fake News about the vaccines of the # Covid19? 🤔 The 6 questions that we should do: ℹ️ I have all ... 	-0.4767	Negative
242,000 vaccines yesterday. The ash have to be passing a bad day 	-0.5423	Negative
Yesterday 242,000 vaccines were put 	0.0	Neutral
Twitter will mark deceptive messages on the coreavirus vaccine 	0.0	Neutral
a fucking gorilla gets the vaccine before me. nice 	0.4215	Positive
Answer about vaccine and transplant, another doubt resolved 	-0.2023	Negative
I think he has never received public funding over the years that this. However for the vaccine # covid19 ... 	0.0	Neutral
Without fridge and without side effects: This will be the vaccine against the Covid-19 that is developed in Galicia ... 	0.0	Neutral
Civil protection of the Diputació assumes the transport of vaccines and PCR tests in the ports before the evil state of ... 	-0.6597	Negative
"I have the illusion that _gagliardi steals a hospital vaccine and get home saying ""look a modern, m ... "	-0.5106	Negative
The _es has brought the vaccine against # Covid19 to Córdoba. I do not understand how people, in full pandemic, ... 	0.0	Neutral
My uncle, residing in London, telling that they have already put his second dose of the vaccine. Lovely. 	0.5859	Positive
Received the first dose of the vaccine against SARS-COV 2 🦠 # Covid # Covid_19 #coronavirus # vaccine ... 	0.0	Neutral
I hope that the one that calculates the percentages of occupation in UCI is the same as that of the proportion of admin vaccines ... 	0.4404	Positive
We received today with great enthusiasm in the _fjd the first dose of the #pfizerbiontech vaccine against the ... 	0.7906	Positive
Day of application of the Pfizer vaccine against the Covid-19 to the health workers of the Vall Hebron Hospital ... 	0.0	Neutral
It reaches # Spain The Vaccine of Modernala second vaccine approved by the Europe Agency of the Medicine. If it is since ... 	0.4588	Positive
-What will we disguise the visions that the vaccine produces? + I have an idea, wait for the cubata. 	-0.0258	Negative
AstraZeneca and Oxford ask the EMA to approval from your coreavirus vaccine in the EU, more details: 	0.4767	Positive
Waiting for everything to improve little by little #yomevacuno #vaccinationcovid #vaccineswork #vaccine # vaccination ... 	0.4404	Positive
92 dead !!! But the owner is the number of vaccines administered! Neither so it is possible to hide a figure so tremen ... 	-0.7825	Negative
_wood johnson and friends are responsible for the uk position in the covid league, where we are… 	0.6597	Positive
"They have pixelated the box of the ""modern"" vaccine because it says ""for Peter the Graveer"". "	0.0	Neutral
Our partner Sara, nurse and delegate is vaccine against # covid19 #ccoosemueve committed c ... 	0.2732	Positive
77,177 vaccines in the last 24 hours. They have reached 73.6% of stored vaccines 	0.1027	Positive
# Covid19 vaccine in #hepatopathy We need immune response data in these patients. Fundamental records ... 	0.296	Positive
Many vaccines are coming but I still do not know anyone who has been vaccinated. 	0.0	Neutral
Run a video where you can see different famous people putting on the vaccine from ... 	0.0	Neutral
Madrid, the community that less vaccine and has 4985 new cases of contagion 	-0.4588	Negative
First dose of the # Covid19 vaccine and the following on February 2. There is less # Yosímevacuno 	0.0	Neutral
We trust that the approval of more vaccines accelerates the process. 	0.7506	Positive
So much concern for the extreme cold to preserve the Pfizer vaccine, and in the end they will have to put the B ... 	0.0	Neutral
Finally the day has already come! Posada vaccine! #joemvacuno #avancem #hospitalmar # covid19 	0.0	Neutral
