Tweets	Compound	Analysis
Healthcare app vaccine reservation # covid19 # salutelazio #vaccinoanticovid who develops app of this type there ... 	0.0	Neutral
If the vaccine will not be distributed anywhere, the virus will remain a danger to TUTT *. We must share all ... 	-0.296	Negative
The AstraZeneca vaccine has 59% effectiveness. does someone explain exactly what it means? that the remaining 41% ... 	0.0	Neutral
take note. #Bertolaso said in Lombardy all vaccinated # Covid19 by June (if the vaccines arrive ... 	0.0	Neutral
that one has been in favor or against the Russian vaccine before the results of Lancet, it is still a minchione because ... 	0.4019	Positive
safety and efficacy of an rad26 and rad5 vector-based heterologous prime-boost covid-19 vaccine: an interim analysi… 	0.4215	Positive
And why he should never have to authorize a Rolling Review vaccine for months, who ... 	0.0	Neutral
Morning post vaccine # Covid19 with # Radio2SocialClub & amp; The Mejio figs of the bigonment !!! 	0.0	Neutral
And the Dead Post-vaccine Covid19 continue: 	-0.6486	Negative
Note on the sidelines regarding the Anti Covid19 vaccine. In my humble opinion, they should evaluate the clinical picture, to Pa ... 	-0.3182	Negative
"Istat: Covid19 ""Never seen so many dead from after war."" slogan, motivated by the vaccine business.fame and po ... "	-0.7334	Negative
You broke the cock with the closures! Bring your ass to those who do not provide vaccines as far as promised and vaccinated ... 	-0.69	Negative
#Vaccini but Salvini asking to do soon vaccinate, who wants to buy Russian, Chinese, Cuban vaccines is ... 	0.0	Neutral
There are places where you vaccine H24. 	0.0	Neutral
#covid19 #china #vaccine moderna needs to be stored at -20c pfizer at -70c. sinovac and the oxford-astrazeneca are… 	0.0	Neutral
The Italian vaccine and waiting lists. Street # 12Gennaio # Review Tamp # Covid19 ... 	0.0	Neutral
_melaye na agbo you want use do covid-19 vaccines abi na bitter kola?  we are a consuming nation and not a pro… 	-0.3612	Negative
DNA vaccines (AZ etc.) use a harmless virus, whose genom ... 	0.25	Positive
how covid unlocked the power of rna vaccinesread this interesting article!#covid19 #vaccine #vaccinationcovid… 	0.5294	Positive
"the moderna vaccine ― one of two vaccines now being distributed in the united states ― will ""potentially"" provide p… "	0.4215	Positive
Devasting questions of #complimenti #covid # covid19 # covid19italia # vaccine ... 	0.0	Neutral
Ey, in Europe the same thing happens, it is a great police deployment to protect vaccines from vandalism, imagine ... 	0.7717	Positive
promising data from #israel! the #vaccine against #covid19 decreases the rate of infections already 2 weeks after t… 	0.4574	Positive
1 million vaccines administered in!we’re doing a great job. now let’s get a vaccine to the remaining 59m italia… 	0.6588	Positive
today I vaccinated !!! ✌ #vaccinocovid #vaccino #pfizer #pfizervaccine #pfizerbiontech # Covid19 	0.0	Neutral
my uncle, the jerk I often spoke, is wary of the covid-19 vaccine because they do not know each other and ... 	-0.34	Negative
who did this?!? 🤣🤣#fallout #pfizer #rome #roma #italy #italia #vaccine #pipboy #covid19 #covid #coronavirus @ r… 	0.0	Neutral
The South African coronavirus variant could be resistant to vaccines 	0.0	Neutral
And meanwhile the US goes on immediately with vaccines, and Europe looks 	0.0	Neutral
where i live it’s not unusual to go the pharmacy for a flu shot in the form of a syringe that you take hope and inj… 	0.0772	Positive
a #covid19 #vaccine developed by the #italian company #reithera in collaboration with #spallanzani institute will b… 	0.0	Neutral
Side effects of the Anti-Covid19 vaccine: the second dose gives more annoyance 	-0.3804	Negative
covid-19 how many victims in france? how many in germany? schools closed smart working waiting for vaccines #staysafe #stayhome 	0.1926	Positive
Imperial College shelves the development of its vaccine now almost in phase 3, because there are already vaccines approved ... 	0.4215	Positive
#coronavirus come with me if you want to live #terminator #quote #magicshot #siriusblack #secondshot #vaccination… 	0.0772	Positive
covid is a 1914 moment for the post-cold war globalised ordervaccine nationalism and border closures mark a parad… 	-0.5994	Negative
# Covid19 #coronavirus the seven #vaccines compared via 	0.0	Neutral
also from #pisa support to # noprofitonpandemic. # vaccines # Covid19 # healthy # 1marzo 	0.6597	Positive
#vaccino #vaccini #coronavirus # covid_19 #covid # covid19 # covid19italia # covid19vaccine 	0.0	Neutral
Today _Commission can make treatments and vaccines # Covid19 common good, available to all of us EUR citizens ... 	0.4404	Positive
The vaccine with activity on reverse transcriptase for the Covid19 cannot create any problems to humans, ... 	0.1139	Positive
finally the really important step for the diffusion of the antcovid-19 vaccine 	0.2716	Positive
"""On #astrazeneca the Scottish studio is also impressive #Aifa is re-evaluating, the virologists should be zit ... "	0.5106	Positive
"""I got the idea that it is to make 2 missions defeat # Covid19 with. Effective vaccine countryside, putter ... "	0.0258	Positive
Anti Covid19 vaccine for extremely vulnerable people. Activated 3 load-bearing channels: 1 through ... 	-0.5413	Negative
